Country_INF_Data,Country_OMNIA,ISO2,ISO3,OMNIARegion,ZijieRegion,SecondaryProduction2019_kt,OMNIARegionTotal2019_kt,OMNIARegionShare,AllocationWeight,WeightSource,AllocationMethod,SourceDetail
Russia,Russian Federation,RU,RUS,RUS,Other main producer,320.0,320.0,1.0,3637.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
New Zealand,New Zealand,NZ,NZL,ANZ,Other main producer,160.79125455491933,880.0,0.18271733472149923,351.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Egypt,Egypt,EG,EGY,AFN,Other main producer,40.0,40.0,1.0,300.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
South Africa,South Africa,ZA,ZAF,AFZ,Other main producer,27.96411856474259,50.0,0.5592823712948518,717.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Kazakhstan,Kazakhstan,KZ,KAZ,ASC,Other main producer,6.341463414634147,10.0,0.6341463414634146,260.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Cameroon,Cameroon,CM,CMR,AFW,Other main producer,6.25,10.0,0.625,70.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Azerbaijan,Azerbaijan,AZ,AZE,ASC,Other main producer,1.2195121951219512,10.0,0.12195121951219512,50.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Mozambique,Mozambique,MZ,MOZ,AFZ,Rest of World,22.03588143525741,50.0,0.4407176287051482,565.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Ghana,Ghana,GH,GHA,AFW,Rest of World,3.75,10.0,0.375,42.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Tajikistan,Tajikistan,TJ,TJK,ASC,Rest of World,2.4390243902439024,10.0,0.24390243902439024,100.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Brazil,Brazil,BR,BRA,BRA,South America,1170.0,1170.0,1.0,760.8000000000001,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 263-270, South America secondary value in Mt"
Argentina,Argentina,AR,ARG,LAM,South America,255.2183908045977,260.0,0.9816091954022989,427.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Venezuela,Venezuela (Bolivarian Republic of),VE,VEN,LAM,South America,4.781609195402298,260.0,0.01839080459770115,8.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,GBR,ENW,UK,1110.0,1110.0,1.0,149.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
