Country,ISO2,ISO3,OMNIARegion,ZijieRegion,Metric,Unit,OMNIA2019_kt,BGSRecordPresent,BGS_Country,EstimatedYears,BGSNotes,AlignmentFactor_vs_old_2025,HistoricalSource2019,HistoricalSource2020_2024,ProjectionMethod2025_2050,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Uganda,UG,UGA,AFE,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,SC,SYC,AFE,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Republic of Tanzania,TZ,TZA,AFE,Other main producer,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,EG,EGY,AFN,Other main producer,Primary aluminium ingot production,kt,300.0,True,Egypt,2021;2022,Years ended 30 June of the stated year,0.6339425791392297,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,300.0,268.0,260.0,260.0,310.0,305.0,305.0,291.42550161836425,287.19946107534025,281.9839230175167,277.71740130179523,274.2564222139316,271.7039313088057,270.28269206752367,269.7188705434306,269.9292077522058,270.82912086173246,272.111036418533,273.5663204688801,275.30762715834777,277.35843335224735,279.7034520617446,282.35280132790837,285.01650899322027,287.68351845910024,290.53312785641407,293.55709644636903,296.71598995454576,299.73399149007804,302.5083608523241,305.1407920731692,308.02777350517164
Algeria,DZ,DZA,AFN,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,MA,MAR,AFN,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libya,LY,LBY,AFN,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,TN,TUN,AFN,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,CD,COD,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cote d'Ivoire,CI,CIV,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,GH,GHA,AFW,Rest of World,Primary aluminium ingot production,kt,42.0,True,Ghana,,Exports,1.1046758406973243,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,42.0,37.566,39.239,55.592,48.314,35.084,35.084,37.60344761390105,40.15845203696938,42.752789786410055,45.443284063674085,48.22840927061498,51.11073621281516,54.08686640538797,57.14218708030898,60.24409898218609,63.3484137420442,66.42743700412771,69.45807148665862,72.44521122686069,75.44105884505055,78.47884225172075,81.5430753623166,84.66015438261658,87.8676733544006,91.12244451461694,94.37172972149548,97.61398798922176,100.81542427080478,103.9610732427728,107.05367672673053,110.02130388690642
Cameroon,CM,CMR,AFW,Other main producer,Primary aluminium ingot production,kt,70.0,True,Cameroon,,,0.2547647460896764,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,70.0,61.7,47.3,62.8,62.2,28.6,28.6,27.32711261077121,26.930834710671252,26.441771141970417,26.041697302397846,25.717159591208016,25.47781126371096,25.344540961085826,25.291671139482347,25.311394562993726,25.395779857854258,25.515985710065717,25.652448411180234,25.815731595831956,26.00803670122713,26.22793025890458,26.47636104255141,26.726138220347867,26.976225009607436,27.2434342842408,27.52699330611854,27.823204303934453,28.106203792184367,28.36635777172613,28.61320214194308,28.883915810648883
Gabon,GA,GAB,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,BJ,BEN,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,SN,SEN,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,TG,TGO,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niger,NE,NER,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,CG,COG,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,BF,BFA,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,CV,CPV,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,CF,CAF,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,TD,TCD,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,GQ,GNQ,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,GM,GMB,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,GN,GIN,AFW,Other main producer,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,GW,GNB,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,LR,LBR,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malawi,MW,MWI,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,ML,MLI,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,MR,MRT,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao Tome and Principe,ST,STP,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,SL,SLE,AFW,Other main producer,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,AO,AGO,AFZ,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,MZ,MOZ,AFZ,Rest of World,Primary aluminium ingot production,kt,565.0,True,Mozambique,,Years ended 30 June of the stated year,1.1537643959841009,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,565.0,569.002,562.633,576.22,541.601,492.936,492.936,528.3346554841502,564.2328900152643,600.6837642843981,638.4856536658091,677.617123253331,718.114293290396,759.9294145025175,802.8571750832056,846.4395501049731,890.0556856786084,933.3164715273828,975.8973870239298,1017.8671942003135,1059.9593485019902,1102.640707564537,1145.6936893398383,1189.489164882838,1234.5553366954966,1280.2854095672446,1325.9384038876724,1371.4926685513342,1416.473377561094,1460.6702656481427,1504.1218558592986,1545.817508060543
Zimbabwe,ZW,ZWE,AFZ,Other main producer,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,ZM,ZMB,AFZ,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,BW,BWA,AFZ,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,,NAM,AFZ,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value held to 2025; Zijie regional growth indexed to 2025 thereafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
