Country,ISO3,OMNIARegion,ZijieRegion,OMNIA2019_kt,HistoricalSource2019,BGS2020_kt,BGSRecordPresent,BGS_Country,EstimatedYears,BGSNotes,Difference_kt,AbsoluteDifference_kt,Difference_pct_of_OMNIA2019,MisalignmentStatus,MajorMisalignment,BGS2020Estimated,MajorRelativeThreshold_pct,MajorAbsoluteThreshold_kt
Romania,ROU,EUE,Europe,280.0,OMNIA INF_Data,271.307,True,Romania,,,-8.692999999999984,8.692999999999984,-3.1046428571428515,Within thresholds,False,False,25.0,50.0
Cameroon,CMR,AFW,Other main producer,70.0,OMNIA INF_Data,61.7,True,Cameroon,,,-8.299999999999997,8.299999999999997,-11.857142857142854,Within thresholds,False,False,25.0,50.0
Saudi Arabia,SAU,MEA,Middle East,790.0,OMNIA INF_Data,796.004,True,Saudi Arabia,,,6.004000000000019,6.004000000000019,0.7600000000000025,Within thresholds,False,False,25.0,50.0
Oman,OMN,MEA,Middle East,391.0,OMNIA INF_Data,397.0,True,Oman,,,6.0,6.0,1.5345268542199488,Within thresholds,False,False,25.0,50.0
Kazakhstan,KAZ,ASC,Other main producer,260.0,OMNIA INF_Data,264.6,True,Kazakhstan,,,4.600000000000023,4.600000000000023,1.769230769230778,Within thresholds,False,False,25.0,50.0
Ghana,GHA,AFW,Rest of World,42.0,OMNIA INF_Data,37.566,True,Ghana,,Exports,-4.4339999999999975,4.4339999999999975,-10.557142857142852,Within thresholds,False,False,25.0,50.0
Mozambique,MOZ,AFZ,Rest of World,565.0,OMNIA INF_Data,569.002,True,Mozambique,,Years ended 30 June of the stated year,4.001999999999953,4.001999999999953,0.7083185840707881,Within thresholds,False,False,25.0,50.0
Sweden,SWE,EUW,Europe,120.0,OMNIA INF_Data,117.0,True,Sweden,,,-3.0,3.0,-2.5,Within thresholds,False,False,25.0,50.0
Venezuela (Bolivarian Republic of),VEN,LAM,South America,8.0,OMNIA INF_Data,10.0,True,Venezuela,2020;2023;2024,,2.0,2.0,25.0,Review: relative threshold exceeded,False,True,25.0,50.0
Turkey,TUR,MDA,Europe,80.0,OMNIA INF_Data,79.9,True,Turkey,2023;2024,,-0.09999999999999432,0.09999999999999432,-0.1249999999999929,Within thresholds,False,False,25.0,50.0
South Africa,ZAF,AFZ,Other main producer,717.0,OMNIA INF_Data,717.0,True,South Africa,,,0.0,0.0,0.0,Within thresholds,False,False,25.0,50.0
