Year,AFE,AFN,AFW,AFZ,NIG,RUS,ASC,ASE,CHN,IDN,IND,ASO,JPN,SKT,ANZ,USA,CAN,LAM,BRA,MEX,CHL,ENE,ENW,EUE,EUW,EUM,MEA,MDA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.078131522084645,1.0252350229485667,1.1222012416223117,1.1066132836789282,1.047054219839128,0.9920703350517086,1.1487510378145667,1.0387892243111436,1.2842858932666226,1.1403994238203825,1.2618240421468228,1.15956653451212,1.0470374362988741,1.3092369191159046,0.9465466503282989,0.9391952698887474,0.975636832947218,1.0060528343029138,1.1006337748912747,1.1137518928733106,0.905425012768849,0.8175189621987716,0.8639163637988132,1.134794643033835,1.021800815750458,1.0160918496394677,1.0812356696174004,1.218302984764113
2025,1.3978820479023824,1.3658706865029322,1.321614956225593,1.454592076244279,1.600790986526021,0.9537433300653206,1.4559894561475417,1.0606368242068671,1.3717466069681632,1.102515146418223,1.4025563448348815,1.1805751776978415,1.029107142277799,1.228550956156729,1.2084977165409798,0.885730417077346,1.2012772366658144,1.3355058527178687,1.3376843373687561,1.1910126477545848,1.2869037280101983,0.8379194559481133,1.005437544497416,0.9934482780951177,0.9426995491810045,0.9339955805978348,1.3918148778103463,1.2747708188915194
2030,1.8984650615619867,1.5813320308580563,1.5864122681296793,1.6142363976125518,1.7554028014767797,1.0441051649831496,1.8025487936951545,1.2587429012569946,1.6172788056572194,1.477034861699056,1.9765532586617391,1.5502340130765153,1.0438700021669576,1.5815195167888498,1.2347498051732813,1.08387725300001,1.1711758859696724,1.5203486781828432,1.5175573124146708,1.4129931716573894,1.441365052418186,0.6976206024318673,1.0469445323627744,1.1469439831345878,1.0340816923323788,1.0417217639759448,1.5578078490766567,1.6016935321618637
2035,2.392057784162464,1.909046692442844,1.9310570339570763,1.7947380600389942,2.083571478662461,1.1915729229129053,2.2555578411444346,1.4161960221630212,1.8066523697412111,1.769058140697383,2.765786106214043,1.915051825271252,1.0394012722722137,1.7030406290561195,1.289985265555121,1.2587585271546122,1.3438721561375593,1.8109270291570227,1.7647943281417693,1.6544660480286926,1.6647301268695038,0.6534404725522273,1.0947705441661684,1.4027534377376203,1.1865075331418065,1.201409775710625,1.8557984019800178,1.8356376408542852
2040,3.0629946207968595,2.400209790985083,2.3443527420266115,2.171373767592403,2.7333301913858423,1.2996863752615666,2.900637509593151,1.471435046900351,1.9647976391702056,1.907505959064565,3.8312652390445603,2.2573217369252934,1.0314375014450428,1.6717917596731122,1.4168122304529627,1.310706013564426,1.4297879629999464,2.333679134514616,2.1152418873884296,1.9479403815415532,2.0039913911651017,0.7014646888125693,1.1423698951319816,1.428925008161117,1.210438899374205,1.2316907441852145,2.1573741063589833,1.9852193741674928
2045,3.9675435409324527,2.98172306385195,2.8287682233158558,2.5691809941835673,3.4891564444713827,1.3690009501170177,3.6593133015426993,1.5782741353122707,2.171409777237477,2.1067676725008244,5.255051378149638,2.7140901558208417,1.0217221373330594,1.6705573891178134,1.5114330185109484,1.388198438826989,1.4695452133342228,2.940635972392693,2.4824281911856896,2.2388518464987377,2.3136321425023842,0.7188553172824973,1.1975853689012401,1.4908324567506244,1.2589679004189216,1.2889008100936907,2.535442675439878,2.1257079097193756
2050,5.193819598967835,3.6623870906546823,3.470694819543282,3.0525933830821934,4.445051202010921,1.3838887580907928,4.52080537833909,1.6908600890909655,2.3815546268447267,2.3304841078705247,7.02507484450821,3.2958907312145307,1.0124822875165023,1.6523762301172729,1.6246349457045761,1.4258244233487778,1.5540827575356384,3.672319569411738,2.8796732911841767,2.533021345867906,2.6097881832164376,0.7095515688227763,1.2097822325949479,1.5153496315997137,1.2778055186967003,1.3140328973338646,2.983610167343172,2.2198802690282324
2060,5.193819598967835,3.6623870906546823,3.470694819543282,3.0525933830821934,4.445051202010921,1.3838887580907928,4.52080537833909,1.6908600890909655,2.3815546268447267,2.3304841078705247,7.02507484450821,3.2958907312145307,1.0124822875165023,1.6523762301172729,1.6246349457045761,1.4258244233487778,1.5540827575356384,3.672319569411738,2.8796732911841767,2.533021345867906,2.6097881832164376,0.7095515688227763,1.2097822325949479,1.5153496315997137,1.2778055186967003,1.3140328973338646,2.983610167343172,2.2198802690282324
2070,5.193819598967835,3.6623870906546823,3.470694819543282,3.0525933830821934,4.445051202010921,1.3838887580907928,4.52080537833909,1.6908600890909655,2.3815546268447267,2.3304841078705247,7.02507484450821,3.2958907312145307,1.0124822875165023,1.6523762301172729,1.6246349457045761,1.4258244233487778,1.5540827575356384,3.672319569411738,2.8796732911841767,2.533021345867906,2.6097881832164376,0.7095515688227763,1.2097822325949479,1.5153496315997137,1.2778055186967003,1.3140328973338646,2.983610167343172,2.2198802690282324
2080,5.193819598967835,3.6623870906546823,3.470694819543282,3.0525933830821934,4.445051202010921,1.3838887580907928,4.52080537833909,1.6908600890909655,2.3815546268447267,2.3304841078705247,7.02507484450821,3.2958907312145307,1.0124822875165023,1.6523762301172729,1.6246349457045761,1.4258244233487778,1.5540827575356384,3.672319569411738,2.8796732911841767,2.533021345867906,2.6097881832164376,0.7095515688227763,1.2097822325949479,1.5153496315997137,1.2778055186967003,1.3140328973338646,2.983610167343172,2.2198802690282324
2090,5.193819598967835,3.6623870906546823,3.470694819543282,3.0525933830821934,4.445051202010921,1.3838887580907928,4.52080537833909,1.6908600890909655,2.3815546268447267,2.3304841078705247,7.02507484450821,3.2958907312145307,1.0124822875165023,1.6523762301172729,1.6246349457045761,1.4258244233487778,1.5540827575356384,3.672319569411738,2.8796732911841767,2.533021345867906,2.6097881832164376,0.7095515688227763,1.2097822325949479,1.5153496315997137,1.2778055186967003,1.3140328973338646,2.983610167343172,2.2198802690282324
2100,5.193819598967835,3.6623870906546823,3.470694819543282,3.0525933830821934,4.445051202010921,1.3838887580907928,4.52080537833909,1.6908600890909655,2.3815546268447267,2.3304841078705247,7.02507484450821,3.2958907312145307,1.0124822875165023,1.6523762301172729,1.6246349457045761,1.4258244233487778,1.5540827575356384,3.672319569411738,2.8796732911841767,2.533021345867906,2.6097881832164376,0.7095515688227763,1.2097822325949479,1.5153496315997137,1.2778055186967003,1.3140328973338646,2.983610167343172,2.2198802690282324
