Year,AFE,AFN,AFW,AFZ,NIG,RUS,ASC,ASE,CHN,IDN,IND,ASO,JPN,SKT,ANZ,USA,CAN,LAM,BRA,MEX,CHL,ENE,ENW,EUE,EUW,EUM,MEA,MDA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.1087590883457858,1.128346921635791,1.0804926634400982,1.1341980750079066,1.1618359778077125,0.9822822908569869,1.1438894541223583,0.9878323976162129,1.0497501473985063,1.0135399946942036,1.285873383637019,1.105376216778735,0.9706430495280104,0.9405116826491434,0.9655791813081883,0.9283135678996196,0.9672197313668286,1.2030601763228017,1.137856073912953,1.1274878174583303,1.0494837180534697,0.9779455321087782,0.9213813157749853,0.9540491816601446,0.9259894263857997,0.924372991984385,1.0478516361400263,1.0887443724438994
2025,1.1674970424293452,1.1985715714706804,1.1231369971793774,1.2079066125803974,1.252325521514838,0.973541505190631,1.2234214318172896,0.981804228485369,0.9774880799502943,1.0203785869756943,1.4581335758236909,1.1621579946513354,0.9562893597079116,0.9121080565537583,0.9488156515709727,0.8944211227052669,0.9512347808131036,1.3195657252357418,1.2137549056010637,1.1972029740107957,1.075136380626867,0.9671013740580064,0.8844211133974949,0.9318717475974039,0.8910642942287349,0.8887321106578098,1.0726293932851876,1.1360276053890586
2030,1.3283186794463453,1.3938539915146035,1.2372572618489726,1.4138212050633638,1.5105957460667516,0.9520283136124106,1.4472919759728489,0.9668942555816991,0.8684631375184427,1.037677618729183,1.9966183999094635,1.3172033277732313,0.9213269178461001,0.84479538947257,0.9081690702944332,0.8150052746712522,0.9124186544455282,1.6626093377645794,1.4263961677331625,1.3909374793871183,1.1420449279540077,0.9405141501500031,0.7983776178661911,0.8786574571358304,0.8094062917457155,0.8055266845418756,1.1371674984962703,1.2634157565597495
2035,1.511293348113868,1.620953638402493,1.362973115338957,1.6548385273069097,1.8221296849997393,0.9309905176998229,1.712127979157567,0.9522107099896443,0.73834641025778,1.055269930352936,2.7339642272520095,1.4929335036045663,0.8876427212439807,0.7824503302499316,0.8692637593760868,0.7426407772358081,0.8751864605587389,2.0948329872148914,1.6762906727996245,1.616022607329694,1.2131173690774104,0.9146578532100471,0.7207051155315616,0.8284819547012897,0.7352315083891996,0.7301111681772723,1.205588740837765,1.4050885439326821
2040,1.7194726080380185,1.8850544704436145,1.501462768026609,1.9369426216355048,2.197912047350976,0.9104176122222477,2.0254255987591874,0.937750153116272,0.7154527665386832,1.0731604939797013,3.743609893724615,1.6921081196727155,0.8551900365826856,0.7247062743683518,0.8320251240439972,0.6767015394297529,0.8394735651374835,2.639420544951275,1.969964925088525,1.8775315972874402,1.288612833992258,0.8895123888411273,0.6505892098297978,0.7811717111046638,0.6678541746474126,0.6617562498259728,1.278126761410913,1.5626477713613172
2045,1.9563283683362724,2.1921850646151038,1.6540241464773748,2.267137643703419,2.651192946176743,0.8902993240922638,2.396052693518581,0.923509198588152,0.8003592777246443,1.0913543660374916,5.1261150005899445,1.9178549357686039,0.8239238391380594,0.6712236723589813,0.7963817651126993,0.6166170610386428,0.8052179716248468,3.3255829250488342,2.315088826210349,2.181358653538655,1.3688065790306883,0.8650582150746001,0.5872947351494479,0.7365631064954307,0.606651365596628,0.5998008978235592,1.3550292590652042,1.7378748605450736
2050,2.2258107903936084,2.549356229685286,1.8220870576270756,2.6536217635383954,3.1979550984893956,0.8706256072357782,2.8344998274114475,0.9094845114583343,0.8568971738897119,1.109856688678687,7.019175540518064,2.173718991055619,0.7938007503135392,0.6216880331659406,0.7622653420865705,0.5618674966874417,0.7723602132980159,4.190124916823562,2.7206759902099082,2.5343517958592834,1.4539909904458954,0.8412763271830144,0.5301580486164136,0.6945018644914931,0.5510572417617207,0.5436459680200328,1.436558836226805,1.9327509924283663
2060,2.2258107903936084,2.549356229685286,1.8220870576270756,2.6536217635383954,3.1979550984893956,0.8706256072357782,2.8344998274114475,0.9094845114583343,0.8568971738897119,1.109856688678687,7.019175540518064,2.173718991055619,0.7938007503135392,0.6216880331659406,0.7622653420865705,0.5618674966874417,0.7723602132980159,4.190124916823562,2.7206759902099082,2.5343517958592834,1.4539909904458954,0.8412763271830144,0.5301580486164136,0.6945018644914931,0.5510572417617207,0.5436459680200328,1.436558836226805,1.9327509924283663
2070,2.2258107903936084,2.549356229685286,1.8220870576270756,2.6536217635383954,3.1979550984893956,0.8706256072357782,2.8344998274114475,0.9094845114583343,0.8568971738897119,1.109856688678687,7.019175540518064,2.173718991055619,0.7938007503135392,0.6216880331659406,0.7622653420865705,0.5618674966874417,0.7723602132980159,4.190124916823562,2.7206759902099082,2.5343517958592834,1.4539909904458954,0.8412763271830144,0.5301580486164136,0.6945018644914931,0.5510572417617207,0.5436459680200328,1.436558836226805,1.9327509924283663
2080,2.2258107903936084,2.549356229685286,1.8220870576270756,2.6536217635383954,3.1979550984893956,0.8706256072357782,2.8344998274114475,0.9094845114583343,0.8568971738897119,1.109856688678687,7.019175540518064,2.173718991055619,0.7938007503135392,0.6216880331659406,0.7622653420865705,0.5618674966874417,0.7723602132980159,4.190124916823562,2.7206759902099082,2.5343517958592834,1.4539909904458954,0.8412763271830144,0.5301580486164136,0.6945018644914931,0.5510572417617207,0.5436459680200328,1.436558836226805,1.9327509924283663
2090,2.2258107903936084,2.549356229685286,1.8220870576270756,2.6536217635383954,3.1979550984893956,0.8706256072357782,2.8344998274114475,0.9094845114583343,0.8568971738897119,1.109856688678687,7.019175540518064,2.173718991055619,0.7938007503135392,0.6216880331659406,0.7622653420865705,0.5618674966874417,0.7723602132980159,4.190124916823562,2.7206759902099082,2.5343517958592834,1.4539909904458954,0.8412763271830144,0.5301580486164136,0.6945018644914931,0.5510572417617207,0.5436459680200328,1.436558836226805,1.9327509924283663
2100,2.2258107903936084,2.549356229685286,1.8220870576270756,2.6536217635383954,3.1979550984893956,0.8706256072357782,2.8344998274114475,0.9094845114583343,0.8568971738897119,1.109856688678687,7.019175540518064,2.173718991055619,0.7938007503135392,0.6216880331659406,0.7622653420865705,0.5618674966874417,0.7723602132980159,4.190124916823562,2.7206759902099082,2.5343517958592834,1.4539909904458954,0.8412763271830144,0.5301580486164136,0.6945018644914931,0.5510572417617207,0.5436459680200328,1.436558836226805,1.9327509924283663
