MISO2_country,ISO3166-1-Alpha-3,Sector,Metric,Unit,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,AFG,Total,End-use steel consumption [kt],kt,3.270851832000948,3.421170730514639,3.769806727245582,4.108710830043268,4.639088041798153,4.975880283044475,5.521665352117417,5.298673607770011,6.064517805503879,6.987594544522733,7.336582556558149,7.718000563058278,13.829594281080576,13.03516828618736,18.120848193417746,13.829498857729401,12.572896113519453,12.774002188925826,12.610080762351185,13.580004648102605,21.447400140869988,19.762027904368402,13.760513487829982,15.62433864183645,20.697890651055985,29.60692955722259,56.56252224238456,44.317591667494995,31.69109354766069,20.231965673366606,18.172787437561105,22.077036498703688,23.68251756123237,33.21714490125545,23.431756289134054,22.287169639722414,24.946597214467094,17.840378090806624,8.567739939249144,11.922826267751242,12.570517517223825,12.462456630341002,18.05411163779352,13.49143368238459,9.727007125913286,36.20781403635619,39.845181327728106,352.97056390048,387.823904475459,18.37402297569764,37.75101712524008,122.02976309603127,235.97314227974778,388.7966280937962,573.7533322166439,425.89377777592244,423.8457202409491,434.86551537339415,435.1859062321996,647.072306699246,884.4145021470279,634.0757164271386,708.2776536037163,685.4055599929693,580.5376611348435,771.6234791418948,731.1341655491137,813.3106236856622,888.7068040823085,972.352079082134,1080.921204476038,929.0214240062838,987.5876616079038,1273.1364561409725,1372.7149866631742,1460.2043304499819,1570.2853158655241,1667.0538033682465,1780.9011395858422,1933.5872340565738,2085.331292375621,2228.473437412602,2372.0759172552944,2543.080185348828,2674.790965959226,2858.28359213937,3067.7830006994072,3280.668473969977,3484.7297461357666,3777.6419109533317,4059.0733105365525,4280.755059148245,4494.459737949241,4850.5144930897895,5131.011387036915,5480.552486430052,5917.3151709926615,6230.025930698966,6653.0992024678035,7171.667469521223,7418.488118807431,7805.535780681932,8431.030197487567,8954.053535954841,9488.587621700202,10048.259702636622,10671.395072066807,11248.102545959913,11748.911454705409,12194.58615382558,12883.777721971699,13410.852142489177,14302.339659944175,14949.99052211975,15760.273680298735,16449.923805642597,16777.84750217817,17411.560759539858,18345.09048912637,18827.143033928613,19730.288296157938,19879.006551174083,20631.237285396524,21486.113987101413,21696.848122732765,21823.013148089813,22520.001970784404,23141.15528486582,23254.615351995937,24433.384114748173,24415.727759094232,24181.88702451616,24527.412395007803,24770.990731447422,25808.449543036044,25672.960833036504,25334.17496541807,26276.22318453712,26150.588396622996,26337.364281487375,27064.149313099177,26681.85688436928,26837.632354373145,27028.437005757904,27044.48596462753,26996.949676073516,27087.646714057373,27346.407279465413,27437.333078101245,27557.001039186503
Angola,AGO,Total,End-use steel consumption [kt],kt,19.021820588999663,19.96278624772135,22.05867806656485,24.14405125318978,27.38526107536611,29.515295853594377,32.89677756555613,31.721384960671866,36.33524941598727,42.06094305829962,44.339269105787,47.71902847307662,38.77238802549999,48.16597547520315,62.62062773141072,91.83597408432595,137.21732377709023,156.43913380389517,142.6130501648723,141.2185065973096,195.80917986483405,176.96324397480555,167.19350396641457,173.15887598346956,55.71880741880472,25.008773168289157,60.91452526709598,57.17051746796669,90.85107915214255,112.21643073633038,145.82518018442823,99.79107852731734,82.32964196296597,104.89189263211787,96.78695605439442,128.09255039160524,94.02364010472334,124.55490133638159,109.10755667546962,89.95126762277815,145.65355921689155,130.60753175857994,94.05788709438534,74.04649842709381,73.30016667672403,105.731964877471,137.70597656830503,163.05485446686217,139.86751519097393,115.3655505852714,199.31445744464312,240.28321524642217,307.2233112319304,382.4168291374419,531.305481663817,837.817221535121,998.3827415328152,1706.3798144525072,1664.7917581905776,1002.3924398126752,1284.6714339189036,1751.7305377774821,2320.378865433198,2735.545734917574,1850.4796642935278,676.654794110145,887.0,838.9999999999998,777.0000000000001,473.00000000000006,469.99999999999994,563.0000000000001,432.99999999999994,2489.1079955190594,2615.93132884436,2747.8124575798647,2892.8073133865523,3040.9281155977214,3206.927843301573,3382.6811918281524,3571.002681991674,3764.5374293903606,3953.1444646428404,4168.199424554563,4397.819364814418,4651.524361389892,4943.208714267251,5235.182632757621,5570.412119847881,5893.067043813203,6233.984610244747,6569.300662671919,6934.064153630826,7322.835971995225,7711.38790652616,8115.463269545859,8588.977089745802,9031.147111633218,9520.147979065256,10028.745990034848,10529.952750170714,11040.784170268189,11613.364131534008,12159.870539036432,12744.319570517511,13334.803008954645,13902.755683260182,14564.559012130674,15181.220811962596,15824.419297276336,16486.258884975177,17199.472285185504,17823.25861669907,18563.32867456515,19245.667211330594,19936.246065540643,20639.123481743485,21338.719835196895,22056.258262806205,22781.233551868365,23462.22516995966,24129.988042621433,24797.96827585259,25501.884260490086,26095.627344384495,26592.63951290098,27181.762731151746,27849.928882952816,28414.549275451278,28804.232622532832,29506.24161641219,29778.416289098997,30182.581732632632,30548.575469930394,31039.81768345461,31397.785166425885,31713.12878408483,31836.902537459642,32280.587044645996,32524.75752033982,32635.327934834928,32725.654536903457,32739.95201794499,32841.3701735358,32984.349840688876,33024.27415500062,32986.41923263964,32990.0665952844,33126.327721635986,32984.62925073623
Albania,ALB,Total,End-use steel consumption [kt],kt,0.7454986759999805,0.7874888528231997,0.8885411426848695,0.9878309678711772,1.1450361568881062,1.2454172587117822,1.4083990010918266,1.342101853308104,1.5702737130788762,1.8502646542086623,1.960661908316128,2.0124596126695726,6.911603990058262,6.89646027115263,44.74646298297132,41.68118658848678,55.35711868681565,51.200389878768036,64.66507237150796,68.25163443414084,68.74796519360235,68.8243289225499,79.58060309206991,78.83624851938382,78.14693928346512,72.34923096333212,87.93371659635335,72.55955759374262,82.56194305475212,160.83094544259706,136.91968852665215,174.98251614061965,169.80807775222496,194.6273036629274,200.29798337476777,179.85575918392857,139.75918723453637,206.12980148400652,226.53416223588027,169.67688006236835,57.10507828652254,49.1503117012494,75.2905028451584,89.74617619049035,105.32067986198803,124.15545809225377,112.65266132653886,130.28818596388672,158.159277613513,202.70169393254213,348.18995316042356,376.41745960374044,403.1399958960128,411.37628883770424,490.9569961022558,565.8535225642343,626.1472526737888,447.2730595539205,465.15789457453974,494.01361157644004,532.5777870891036,565.8483078453178,561.4170718049472,478.2114552961437,323.14942295368013,367.15606785595213,247.0,229.00000000000003,299.99999999999994,305.0,338.0,405.00000000000006,417.99999999999994,852.3202398689888,904.8811675451094,952.5472338980704,1004.4367767449401,1055.2120896157116,1094.387031372038,1128.9192846779486,1149.6799072355607,1165.4370171698345,1162.7814548717483,1138.8636656236542,1099.8675914947983,1051.6692358023665,977.9622027338593,894.2777285853794,803.6406730913568,697.4106800318556,605.8644175157808,510.28985850278787,427.7102926728914,349.06984489310764,286.5505040085723,223.1700209903993,186.2544831161796,185.14226970763093,182.55046455825538,181.2032741171672,180.16588032771278,180.25509106929167,177.12794281331747,174.45691669470324,171.77602718116762,169.02667143469947,167.01141485830547,164.00227412811248,162.57821490002132,160.5127249570612,159.65004275377228,159.43316425387832,158.58720540897542,157.14980622445336,155.95697491131526,153.70889426827705,151.91929590311872,146.77541349091675,142.47407891911212,137.54682259303343,131.78516868074206,125.66862131339069,119.9702027789446,114.97998334525562,108.51464492697106,104.96439744839316,101.96653545200661,97.90617332028717,95.82863952307761,93.73734055454577,90.7892738472215,89.07421293631158,87.06045701434076,85.69600607719124,84.68581052124445,86.54888859306858,96.5698968708173,108.01736006289352,115.37672081211966,125.74403523615227,136.5803101671407,146.7215511978757,156.35234888612484,166.02526560423382,175.02873772373704,183.47632447987968,190.3144582618187,196.51824396825975,201.7188273187242,206.45910161149564
United Arab Emirates,ARE,Total,End-use steel consumption [kt],kt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.22713572799982,40.94042163852806,172.29437278812495,308.1692659150628,430.4975768985929,585.9181143351686,1103.739341699467,1036.1272305307293,821.0170793121526,1025.8673251406608,1058.9408482808672,1173.9757660533166,1208.8475240619273,895.4306523187316,593.345989162678,569.3512806335974,494.62055567719364,464.40448510167613,495.84740240126337,782.2732897293336,876.5120274991394,1009.472422113283,1205.067077974308,1223.317180777584,1963.6368448116,1824.2980476075727,2103.595986583687,1635.038817636172,3515.8930853567017,2684.647107270955,2622.677591324524,2869.6262229635336,3593.9410684036934,4213.8377764233965,4494.452896145328,5134.633502355975,8435.966499139791,9777.46324259272,13417.795873454314,6684.490018519781,4146.572204256971,3997.4125665669444,6351.429572770026,6541.875670039029,7081.778745422269,7487.677016272397,7405.7100204492535,9735.000000000002,9305.0,9375.0,6339.999999999999,5102.0,6056.0,7043.999999999999,8126.599486768058,8210.3323896882,6926.075507952328,6135.189641507068,5747.647668918375,5564.787025471017,5657.289468014277,5922.070264874962,6271.68238286104,6506.439939691455,6603.84838742231,6602.306124452246,6569.372995113004,6577.432929633658,6645.944599463886,6768.033842863322,6895.677792595228,7012.581043312505,7107.805050553892,7190.222003282628,7276.705322286194,7377.019069189626,7482.084256097442,7615.1526135155755,7753.280581241159,7838.489586462365,7918.121281955856,7986.544137583344,8077.221883670105,8201.3916150828,8352.882792059321,8523.0371926758,8676.216715756667,8835.61923347431,8999.50391586593,9160.08911143635,9314.316456396373,9459.245645073948,9623.854322399851,9789.91407544729,9945.57243903775,10101.658328676513,10250.837047747444,10401.84222415854,10563.475147482595,10722.511439436941,10883.931881530016,11029.62960902363,11181.174406753878,11314.235408633283,11454.04708559544,11565.690263867778,11682.840559476213,11792.135738346087,11895.279918818102,11989.017095381563,12083.487047789076,12173.25233146052,12264.648267665936,12351.749065098822,12438.043798720397,12516.84839097784,12598.886849056482,12686.35226681792,12776.284327734096,12861.77964107167,12950.664525471953,13029.200480740805,13116.703217281829,13206.150306569212,13299.019739125684,13393.5063320424,13489.377374021675,13588.207714111757,13686.408730817515,13791.649331781608,13890.326038199963
Argentina,ARG,Total,End-use steel consumption [kt],kt,482.14224194399253,500.12889733045586,551.3734728696949,586.6786833596564,672.5056626686077,699.07316277062,780.8980873446767,768.5205479253353,839.4345976609202,1081.861216857473,1312.0413208114296,1430.2568344153276,943.5662075517853,1384.4841104307443,1966.9140342271378,1417.1570944938323,1362.7496884476714,1562.2361377900884,2394.053335558598,2419.619285943228,2515.3697549404856,2608.017177178529,2606.308581841816,2637.2683569018836,2924.985810460547,2245.897310864106,2733.842342195615,2092.7998982596732,2990.1250390741498,2780.7765415950767,2134.878695442435,2189.8129734289473,2378.58777901948,2214.63638074113,1813.943634876055,1892.2264829060666,2499.54241170119,2317.254388354651,1432.1100050137334,1307.5433368638492,1639.844522352196,2574.92422465995,2497.5174227303064,3226.509311858622,2677.1975087349683,3125.26608893619,3930.2512151283913,3966.4512142831345,2869.091829264031,2752.4018431511436,2346.2797005985276,1529.607835136402,2577.984603772637,3524.74169557442,3746.64723109464,4177.222311920229,4400.927014500493,4860.921943788475,2697.5283518441065,4832.0197866315475,5413.563575234295,4664.620334450312,4960.6387980203,4842.28772474872,5222.039022905805,4317.496184014441,6494.0,6270.999999999999,4829.000000000001,3594.9999999999995,5037.0,5084.0,4987.0,6489.664175219246,6699.619613480979,6896.752712359076,7107.3215661900695,7332.209800710874,7564.149080867851,7806.568633178455,8050.205603142473,8290.878202827778,8526.875055109658,8769.592697613118,9019.669936031942,9276.959777334332,9545.288458616542,9817.243269658917,10084.230886425996,10337.737495748526,10586.286018627761,10824.26535701324,11058.721681701132,11293.626610899153,11524.457331009255,11747.516328485646,11959.087634653768,12162.598148703959,12355.690339337016,12542.090555058134,12711.18310211412,12859.995309289701,12994.536871294304,13109.20305466435,13213.380594582817,13293.334448577367,13355.285601836638,13407.335168228034,13447.176360742298,13484.313387943579,13500.73296719931,13511.777775811503,13511.665964315385,13499.63131377402,13472.89565140911,13431.429850770204,13378.980236538278,13305.606949397923,13205.19273290225,13092.700361206458,12971.191066675407,12828.030202675403,12681.741261347235,12512.597170115176,12326.963483755268,12148.080751086225,11950.323057215901,11757.029535881018,11539.987791272972,11332.44783471043,11120.550842176315,10910.330518909323,10698.233647508117,10494.71935365338,10303.239423777335,10112.696149131752,9941.18406375732,9780.419558651647,9626.467069061033,9477.975040499503,9338.981470948005,9219.898347859902,9110.669546074729,9017.102582236932,8941.421245691043,8865.00987452717,8805.192651909867,8757.53533098703,8717.749010936343,8684.29570480587
Armenia,ARM,Total,End-use steel consumption [kt],kt,0.061162842999971795,0.06392374827772151,0.06972536500771262,0.07545606821272376,0.08420319832031475,0.09018004951289048,0.099357279295725,0.09694155055534469,0.10917817140176778,0.12411192380397003,0.130845236692138,0.1407510087688178,0.19909898908292825,0.1765628116100223,0.1377034923643393,0.09568579940681259,0.6518401732771117,0.5209923703454228,0.454966661341886,0.2667630570396579,0.1876413185139354,0.18859619710874298,0.2728154775490447,0.40898965806058696,0.5276158327655469,0.7383744685193062,0.5942981988308973,0.6440067960491108,0.6683133179786603,0.6319585223377716,0.7289945145887271,0.8885104796215796,1.05500163793678,0.9925291829893059,1.0059439055002346,0.9930782475184038,0.8542754396833291,0.8258780450802179,0.8830023788204798,0.6938245500208616,0.7364182416214462,0.5074140218497657,2.317524929319081,0.6264772896835761,0.7510066868215794,2.693970789930647,2.6187234819042406,0.5657916718516872,31.727389854869063,11.287821479910424,21.960129170874552,44.825914268462896,73.73076251795914,59.6143466275763,81.6145919816267,135.63230035771488,158.51011524329184,197.31901888728814,154.3869793750875,188.28703716337543,152.34796578818901,147.77188825477882,159.5033850069545,187.23304094392256,204.00683546136452,185.0040351700036,193.9909304385455,212.2564913032547,234.25570318406392,256.588425934072,269.3341309574779,291.31936080335146,399.4985426659227,495.1308429332286,394.61586274270985,426.71942514513,462.6147907187993,502.4447182681459,542.3304905601451,583.4366685525112,627.3816543055389,671.738767424373,719.6887561775806,766.5766058087789,815.8339966633512,862.5096647857249,910.5348944437633,955.008065649431,997.0138926763185,1029.0194233502418,1061.9108909021656,1089.6950967482449,1107.8218916934457,1122.188751126631,1130.8525182583926,1127.096176195319,1115.3830383039012,1096.6316585900217,1072.1683447227936,1042.310684106807,1008.8978003460186,967.5299756720522,924.3326557372008,893.039834587141,838.9510609736361,801.1897654816889,755.5619903384904,709.5231853689395,675.2610356184571,632.4156761875149,598.2038662817072,564.8467613227799,539.4107002481439,507.0410173484944,484.9613339489721,482.7700948373866,481.25209911528657,479.63228339073726,477.62614153718516,476.7372528363484,475.52615353127817,474.23229523163934,472.5185595796653,470.9689235974296,470.4208904271714,469.71619520475446,470.0483867275082,468.267889261959,466.4777016270083,465.48375718930515,463.53785204748027,461.36645553686276,459.21237784108087,457.87659393507954,454.92640296780655,451.93006389701657,448.0165359534826,459.611055106295,469.62812379521097,478.6926547219925,486.41062921830166,494.3599577756927,503.75033174740736,510.0475984703578,517.4026737626991,526.954341032892,534.1831139408371,539.9082074931774,546.2118716085708,553.0954150903236
Australia,AUS,Total,End-use steel consumption [kt],kt,898.0108450930085,1035.058067577307,1368.486530620162,1454.5396071344303,1420.9192175066278,1523.5779287356877,2032.161671512553,2138.8794647610525,2326.0021758363023,2592.858487015528,2636.182565803905,2910.4182355807243,2821.776536323566,3801.2800073569465,4374.094366636048,4001.8711007610495,4698.402961425493,5106.551956374784,5245.689386958553,5529.482659489224,5817.631599360591,4932.254102366471,6123.366509183177,6545.37068359735,5519.746771391135,5332.683397546082,4872.743166528529,5033.970948776295,5985.35067789265,5795.19001458059,6195.809403350313,5455.017541191855,4440.23924409079,5742.59286227863,5634.825948029869,5593.625431208549,5008.789514357111,5855.97770540788,6432.098662505665,4964.932580443345,4300.57687998516,4332.085572560456,5541.330925878753,5919.519336845905,5689.898186999311,5747.113447400972,6480.852666443724,6019.244042718664,5582.852153618945,4034.9471657393387,4276.3081639634165,5433.983511522535,6431.920333841109,7767.025482977143,8978.572780473904,8835.897110471897,9345.641089517394,9727.517794755273,6935.020091603137,9597.778705695711,9174.341246738608,9806.975986770438,8901.568235780951,8864.32778387347,9150.378615908008,8812.302941645888,10439.0,10456.0,10500.0,5100.0,6155.999999999999,6140.0,6439.0,11856.325919322882,11821.244371328623,11532.59696927676,11065.730404992739,10664.897250718945,10305.4760662173,10011.99067733636,9942.56134083661,9846.91073730889,9678.193870506795,9526.078153689286,9404.264538574218,9400.00064769838,9460.043438892166,9504.694259917742,9742.366015969095,9810.536348813093,9977.548466051125,10104.769468137365,10210.685504019444,10248.559143345583,10341.303742341308,10502.578260489474,10702.249979764774,10652.913524496122,10925.741110705341,10875.21482951083,10986.285412472922,11072.736970540936,11115.7338669031,11223.194618500189,11355.634811043787,11447.47122611797,11442.740632236266,11519.134439573047,11690.137009385018,11627.258429273323,11720.584845201533,11882.361267546135,12004.032908417536,12152.889867979029,12123.078537255795,12321.710375703604,12547.651536573494,12673.290277080967,12794.296207597732,12870.90816768794,12894.627646645136,12891.153115108926,12989.720751028033,13110.146466872027,13242.68344828063,13307.251623311975,13373.278766160503,13537.2168312998,13605.302705216165,13681.291719204362,13764.236108003366,13982.575816617182,13976.439786884383,14157.428299779498,14082.60287895907,14187.293220189746,14357.90513182352,14530.289667011173,14770.030052445552,14743.652686138777,14919.208582685407,15007.820086369718,15025.485345366356,15065.912866024393,14970.449511442543,15128.841180656109,15312.091914719638,15451.349198062873,15341.561391564162,15333.875283945146
Austria,AUT,Total,End-use steel consumption [kt],kt,230.0626225310001,302.475485269901,409.17715070672364,665.5580817825096,768.7940936855856,968.0539454317511,1290.025601895529,1176.313139172711,1237.2406186879086,1744.6784950071567,1659.8734059400965,1504.3572442639882,1144.0422348395423,1355.959523128315,1475.2967224384183,1482.2691048287127,1349.3407814835527,1685.326066023278,1850.7940571558952,2217.8595095468518,2096.4791038017015,2241.3522412725447,2561.948563852753,2670.453517768936,1751.7226221289293,2296.2571370919472,2212.217477147807,2280.1307115673326,2419.7612662009738,2355.872419629505,2049.578702072822,1701.289084092963,1732.0653865127379,1725.3840207881608,1593.9916452244374,1871.28523994059,1683.7592699036172,1922.1025129042423,2212.1479802591425,1975.9556759225582,2269.0223159566794,2074.563611147538,1918.7652731713288,2670.4317610763037,2443.2882873179606,1343.7372698033673,2726.857087252919,2083.7122029646766,2356.236779336923,2758.8946265233635,2617.9057072655364,2529.991961699082,2420.9626506129384,887.4834567038527,2707.5835518842923,2902.8960454834014,3236.5275775582895,2868.618170272231,1972.2521075165666,2159.30673762926,2602.607656669461,2812.1604856542053,2765.1573129692256,2829.2192559379146,2771.1718396067913,2755.16823508887,4328.999999999999,4491.0,4370.0,3649.0000000000005,4497.000000000001,4103.0,3089.0,1541.924550772145,1687.5146916738936,1793.6628357042857,1886.5526355355087,1967.3052661673028,2034.7759387795595,2059.609427648034,2116.840537290148,2210.0068182161313,2279.85394028413,2351.49206049634,2333.6519911619343,2336.303778168186,2316.4952280524963,2260.002908202619,2310.1147429670477,2290.4947280600695,2306.756960245324,2330.728507142692,2325.581840336351,2336.3331987354086,2310.3334958233295,2322.4054416171675,2304.8094154745477,2285.695575802507,2263.5864388379996,2232.339466673264,2229.5836784790063,2235.1207889892717,2217.1053455731803,2196.811135413506,2212.3201494509026,2230.281967330653,2245.5630603167183,2224.594794716728,2244.76189053706,2249.450783068903,2261.5988748913146,2269.097327315547,2256.387002998414,2258.776378192836,2286.9437365923886,2264.3484828850846,2274.5212170160726,2300.622068612909,2319.49457670575,2327.3594795534,2362.6692299741094,2381.3769403547562,2373.918774665902,2399.749133739077,2391.2547499611865,2413.012781666388,2403.225203545917,2364.0108555886513,2368.502879684374,2374.960674876531,2382.821750236979,2360.4778477297796,2341.856613798699,2329.9791679143646,2308.751367588724,2314.372020198683,2322.7114445006137,2326.05589006009,2297.811984119063,2288.928836150266,2304.4286920218515,2301.5775422687548,2313.659383398166,2303.2011197109714,2307.859324473536,2280.4932108476814,2275.3139918480238,2256.3273699461815,2264.9304795914404,2254.5768471940282
Azerbaijan,AZE,Total,End-use steel consumption [kt],kt,1.420746186000191,1.4885086794131404,1.6199344182852549,1.7532268021484858,1.9528002714804844,2.096023577285942,2.306300722466794,2.267373284395642,2.5335099119212217,2.8744418150085282,3.043068690000416,3.271767726932957,3.5535624496435188,2.203260976199487,1.9190273792735015,1.4221805137107137,23.387524585159554,19.0538095507098,13.487192727866061,5.91578581738786,5.014731068762167,6.133806665763784,8.801077097916405,13.144091209524625,13.362429171829008,17.776315795951938,14.035575355958203,16.459547859542536,19.03436829652041,18.530155000145307,19.14518399046583,20.993795865477157,24.165386592361212,26.622455848106682,29.654575655923786,28.193466758529695,28.65693196840038,25.642039526388267,24.037820073693656,17.493650283423694,15.308761438409071,13.698325739582751,27.094281259990723,14.717406872644904,48.16515512323883,178.92330542171865,174.1487075613476,269.62255521367223,188.2551338685543,172.11638747103297,224.75069471367067,337.9593940436066,609.3936715540855,669.018263289454,720.8295728357632,874.2164034721523,897.8994247482832,1088.1312450133375,916.8425676953599,953.5109527599132,1198.425953071338,1278.6362122665776,1382.644531685962,1327.9072951020999,1333.8696255008765,821.0039477455023,580.0000000000001,763.0,867.0,751.9999999999999,606.0,600.0,1010.9999999999998,2195.444834985951,2595.212200850384,2755.2045900147486,2918.1337141872546,3083.9182070969823,3258.9240745780216,3438.058387368653,3615.4629832105065,3791.5348438866936,3962.401316720274,4126.075688721176,4290.078822518623,4452.560591575585,4604.132490490468,4745.059974889856,4859.011545182951,4958.841198352501,5019.8878761090555,5058.949940915191,5073.487783821026,5068.690604693204,5035.057236439913,5000.27184548429,4925.292062855904,4856.052525152288,4758.761474841582,4636.370675701167,4535.218388467328,4411.6792401124985,4289.668752295362,4151.901380963562,4027.1421154386626,3886.374981200572,3753.534618057318,3624.9420484614525,3526.8196257153904,3412.9568361308525,3310.294827015272,3223.285347769632,3162.8671287547213,3089.7283155751147,3024.380144065495,2955.38446910514,2910.4628027235212,2850.8554972568986,2808.771628605927,2772.0066957770605,2719.5461568580595,2690.5748749228924,2666.2501401658797,2640.3658928968475,2637.507321205919,2614.4664254538875,2623.5329406525643,2617.9386677312655,2632.5467066323895,2630.5087681290297,2642.2540653942733,2663.587456737591,2690.3516266866586,2726.76074031358,2749.3827314920036,2777.0197428053707,2815.767944507855,2842.844797488555,2882.6085627519296,2913.9209799902906,2942.609071679863,2982.4054823212373,3013.4408168545406,3041.567033851093,3070.1179013438973,3094.755719450075,3131.7202645525826,3152.802845607548,3173.3551581153733,3198.426042520973
Burundi,BDI,Total,End-use steel consumption [kt],kt,0.9197320289998094,0.9611089701201349,1.057202371526074,1.1505413271313514,1.296629858611621,1.389286066107475,1.5394232378008468,1.4776566167709595,1.6884789204503832,1.9421948232720194,2.037712690553063,2.1468663937901042,3.897484642271704,3.4822700070419197,6.797269379693523,2.544689342001975,3.3698517361905185,5.0765858996185695,3.3489509019179415,4.360403182402924,4.010212921274978,4.618168497810377,3.9633784103516883,5.832090794923043,3.7487063099545717,6.108810925207216,8.57764888250623,10.217333328168584,10.82460382281708,9.87321575344171,13.166038624236036,20.109480912046244,13.574314653812694,21.55005437641635,14.502133349969974,16.793081858239397,18.20881893928798,12.988069315727419,12.0398136953066,19.68090850654708,13.403788359852465,15.134594802714478,17.11965321960525,13.975560791496779,16.077487802555133,7.626962828934346,7.834376135272434,13.167711893638241,12.227962632755576,15.95588167926944,12.159272422632142,13.834517641238861,14.42701464243178,18.698613831579323,25.775271711317266,23.081196524160866,31.794929734909125,27.377278234425976,43.08995570754715,48.6287508487531,49.07690901190347,46.09648516854234,40.71039386387731,36.78977947553262,32.53957134239289,44.70437560386185,47.547551371347666,52.59252086315071,65.29654219905866,64.78525548044438,66.47103247513968,69.58444522051799,75.21255042855458,79.80377189673494,81.75120429911878,85.21575017465202,89.51001905820429,95.56346936506695,102.70932561152479,106.89225105713292,112.81712350349923,120.39685418659252,127.24047956172595,134.5950442474021,141.97229411036986,150.53486445068202,161.5990397101533,171.67065258978107,181.2004163582642,192.1596141843113,202.68623947534525,213.104216279144,229.62843725758339,240.99555689891707,256.3937861402869,270.06389819853035,279.5284873342056,302.1201608845567,316.8814543304252,341.4571418138978,354.3583811792815,378.105745988585,403.1897116291653,428.5599583011262,456.47015298275016,480.6781507808958,513.908141545739,542.2116246794411,577.607175146673,618.5079460322094,658.395926749486,703.6536174692296,751.0021781115532,798.0798233065498,856.414564758441,929.1096466020896,984.9459100761417,1059.07606216984,1126.6275333308904,1206.656890319569,1298.2482576905188,1369.9669512065493,1480.7019213524998,1590.0563278533284,1697.1862985037287,1832.1467531332894,1943.9333579314787,2110.8639061252884,2248.748428274483,2409.8817937511367,2559.665487429274,2779.882657349986,2967.612042808727,3150.96737956006,3391.621066605296,3655.760012735948,3878.4251174149167,4126.1326850331225,4443.222787828005,4746.207655823906,5003.9904106558515,5317.87832810243,5652.5439084346635,5990.161320363815,6373.482651026419,6648.2958098913605,6988.024681783604,7340.319313552731,7697.026163221433,7972.502154882981
