Country,ISO2,ISO3,OMNIARegion,ZijieRegion,Metric,Unit,OMNIA2019_kt,BGSRecordPresent,BGS_Country,EstimatedYears,BGSNotes,AlignmentFactor_vs_old_2025,HistoricalSource2019,HistoricalSource2020_2024,ProjectionMethod2025_2050,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Reunion,RE,REU,AFE,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,RW,RWA,AFE,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,SO,SOM,AFE,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,UG,UGA,AFE,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,SC,SYC,AFE,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Republic of Tanzania,TZ,TZA,AFE,Other main producer,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,EG,EGY,AFN,Other main producer,Primary aluminium ingot production,kt,300.0,True,Egypt,2021;2022,Years ended 30 June of the stated year,0.6069191010900499,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,300.0,268.0,260.0,260.0,310.0,305.0,291.9966386409289,278.99327728185784,274.92784789555265,269.8904483549931,265.7168444535655,262.24201560334603,259.53278301761867,257.77340290996034,256.68304780122133,256.17809107709405,256.18684432349045,256.43099616927964,256.7270256614692,257.19591236433894,257.87142221867225,258.75160368827477,259.8622979845112,260.9449858038597,262.00849262848345,263.2407820495763,264.6441567984174,266.18311579889684,267.58770104984757,268.74708697527865,269.7426541694342,270.9382766456222
Algeria,DZ,DZA,AFN,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,MA,MAR,AFN,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libya,LY,LBY,AFN,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
