Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,4.934694215193195,6.920985974106915,9.97195289786527,0.2672541791930851,14.733231429175685,3.552647341501037,1.0,0.970421936847627,0.5588348131481264,1.0,1.7758615429653999,1.494395633584796,0.45792633130588095,4.906893213035622,0.6970171958037762,2.748543652937815,12.144320995519667,1.1738774912414116,1.4075144717196175,0.598693352318647,0.9602006102005944,1.3835473705422294,58.79058829726203,1.0,2.41938791337181,0.6976800414799861,1.4684393395003539
2025,1.0,6.90204132278979,9.881478961160372,14.457929346797902,0.044161548087402365,21.599847143763526,4.828971012251556,1.0,0.9556329052714407,0.3382522197221896,1.0,2.163792314448099,1.7415934503771942,0.1868894969588215,6.860339819553434,0.5455257937056645,3.622815479406722,17.716481493279495,1.2608162368621172,1.6112717075794263,0.39804002847797043,0.9403009153008918,1.6133892973569208,87.68588244589307,1.0,3.1290818700577154,0.546520062219979,1.7026590092505307
2030,1.0,8.167537393568026,13.462427235961233,17.448718893141027,0.05225861140105732,27.33435958235351,6.8019556490544755,1.0,1.1358789322522749,0.34432384891843243,1.0,2.921015069817396,1.7687118108906774,0.19900881876711846,6.96716220593262,0.5540201786265024,3.6792263577452347,24.954948180232314,1.7759510469178053,1.0873228947758193,0.4731160679453573,0.9549423456569632,1.9875993992123961,104.22469337004327,1.0,3.702802111144434,0.769813116522626,1.7332217477901388
2035,1.0,8.47843723698711,17.408223842183098,18.772565095660983,0.0542478516480236,31.817879111588518,9.048834579359259,1.0,1.2916125241367022,0.3605381994085734,1.0,3.5270063600178183,1.8982387813765527,0.1991837742730585,7.477384056582049,0.5945923933217827,3.948664850164495,33.19827556517431,2.3625980635191306,0.8149060909059795,0.5379821928001172,1.02487504371439,2.158886411066906,118.51432002011742,1.0,3.843750421644149,1.0241042294068137,1.8148398668489247
2040,1.0,8.873615583139932,21.21211433092076,20.222504977446345,0.05677633368986597,36.301841023485146,11.176342481762209,1.0,1.3999204640797904,0.3726123997291925,1.0,3.776349585277692,1.962453653243361,0.1987517091633058,7.7303339298030185,0.6147066564612432,4.08224288570247,41.00365569359084,2.918077999223157,0.7404348988821899,0.5830945944990642,1.0595451917786305,2.4674003302331378,128.45231738021135,1.0,4.022906897323779,1.2648854948658135,1.8756177265545686
2045,1.0,9.264431089099602,24.97584223399473,21.656789449213075,0.0592769008340749,40.73813740858431,13.231270478512998,1.0,1.4819456231818653,0.3746953930538173,1.0,3.737903801497441,1.9122740821430932,0.19244504596931306,7.532670744016047,0.5989887227802486,3.9778607023102053,48.54275537592308,3.454607743823532,0.7683344355972056,0.6172596975263884,1.032452820350173,2.778939269401128,135.97868908524097,1.0,4.200085453209553,1.497452510445843,1.886102882729727
2050,1.0,9.70337157276368,28.524898892160003,23.137399902843416,0.06208538753681805,45.04066991910183,15.191534047259779,1.0,1.5588270026947357,0.36915449208871776,1.0,3.5106758189977643,1.7394080923031487,0.18375572595068598,6.851731439100401,0.5448412658684607,3.6182695567879937,55.73455113314374,3.966421157019574,0.7591538663377286,0.6492823144977413,0.9391210221422214,2.9961081864262336,143.0330836849422,1.0,4.399081756655688,1.719305854531156,1.8582116690213877
2060,1.0,9.70337157276368,28.524898892160003,23.137399902843416,0.06208538753681805,45.04066991910183,15.191534047259779,1.0,1.5588270026947357,0.36915449208871776,1.0,3.5106758189977643,1.7394080923031487,0.18375572595068598,6.851731439100401,0.5448412658684607,3.6182695567879937,55.73455113314374,3.966421157019574,0.7591538663377286,0.6492823144977413,0.9391210221422214,2.9961081864262336,143.0330836849422,1.0,4.399081756655688,1.719305854531156,1.8582116690213877
2070,1.0,9.70337157276368,28.524898892160003,23.137399902843416,0.06208538753681805,45.04066991910183,15.191534047259779,1.0,1.5588270026947357,0.36915449208871776,1.0,3.5106758189977643,1.7394080923031487,0.18375572595068598,6.851731439100401,0.5448412658684607,3.6182695567879937,55.73455113314374,3.966421157019574,0.7591538663377286,0.6492823144977413,0.9391210221422214,2.9961081864262336,143.0330836849422,1.0,4.399081756655688,1.719305854531156,1.8582116690213877
2080,1.0,9.70337157276368,28.524898892160003,23.137399902843416,0.06208538753681805,45.04066991910183,15.191534047259779,1.0,1.5588270026947357,0.36915449208871776,1.0,3.5106758189977643,1.7394080923031487,0.18375572595068598,6.851731439100401,0.5448412658684607,3.6182695567879937,55.73455113314374,3.966421157019574,0.7591538663377286,0.6492823144977413,0.9391210221422214,2.9961081864262336,143.0330836849422,1.0,4.399081756655688,1.719305854531156,1.8582116690213877
2090,1.0,9.70337157276368,28.524898892160003,23.137399902843416,0.06208538753681805,45.04066991910183,15.191534047259779,1.0,1.5588270026947357,0.36915449208871776,1.0,3.5106758189977643,1.7394080923031487,0.18375572595068598,6.851731439100401,0.5448412658684607,3.6182695567879937,55.73455113314374,3.966421157019574,0.7591538663377286,0.6492823144977413,0.9391210221422214,2.9961081864262336,143.0330836849422,1.0,4.399081756655688,1.719305854531156,1.8582116690213877
2100,1.0,9.70337157276368,28.524898892160003,23.137399902843416,0.06208538753681805,45.04066991910183,15.191534047259779,1.0,1.5588270026947357,0.36915449208871776,1.0,3.5106758189977643,1.7394080923031487,0.18375572595068598,6.851731439100401,0.5448412658684607,3.6182695567879937,55.73455113314374,3.966421157019574,0.7591538663377286,0.6492823144977413,0.9391210221422214,2.9961081864262336,143.0330836849422,1.0,4.399081756655688,1.719305854531156,1.8582116690213877
